description,dataset
With God al tinz re possible buh with money all tinz re answerale,1
ADT Poductios #TeamADT . (Official Page of Gabriel ©) I Love  Grafitti . Im A  Cool Dude . Just Follow Me.,1
ILOVER :) big fans @Rayprasetya22,1
"A giggle a day keeps the rapists away ;D 18 years, dork for life, all time low is love, university student, I LKE TO PARTY. #teamfollowback #eamvirgo :)",1
"heloo!! my name is Safiri Dyah Puspitasari,i'm just simple girl  follow me :) folback ? Just mention thankyou :) ♥AVENGED SVENFOLD♥",1
"Networking, business, entrepreneurhip, leadership, CSR, SRI, traveling and Football. Sales and Market Manager at the professionl business network evenweeks.",1
i m own team :),1
Crete Fun Wth us,1
#TEAMFOLOWBACK - Folow me and I am going to follow you right back ;),1
#TeamJordan #TeamRalphLauren #GwassGwass #TeamFuckaHoeDuckaHoe.   @Bamm_Bxtchh3 . Ta  #FuckEveryBody. ILike mentions soo yeah mention me :),1
,1
"Servo do Senhor, 19 Anos, Locutor, Sonoplasta, Produtor Comercial e Fuuro Adminitrador",1
Team RDING N SWANGAS,1
| dad  @kusumadewibali ' husband | enterpreneur | dreamer | :D |,1
Please FollowMe!! FollowBack100%!! Twiter is happily to know everyone in the world!! Thanks!! #fllowme #followback #autofollow #follow7com,1
if ya don't like me.hen kiss my country ass!,1
,1
"I patner with creative, conscious & spiritual women and help ignite their inner STAR, so they can shine their unique light to erve the world!",1
"I LOE ARRY STYLES, SPENCER MATTHEWS AND MARK WRIGHT",1
@caitlinbieber56 ♥ @elintucknutt_xo ♥ @tamaralilly1234 ♥ loveeeyoou♥ i love @justinbieber  @JLSofficial & @Onedirection ♥ Follow me pleasee?♥♥♥♥,1
~ #CA7A95,1
,1
Official Twitter Page Of Reordig Artist/Model SYNCERE. #Shadyville Entertainment/#IGotNext❇ Affiliated! For Bookings Contact OfficialSyncerebooking@gmail.com,1
,1
The #1 #TeamFollowBackteam on twitter. Follow us and gain followers. We follow back all within 24 hours We also do #PROMO so follow us and gain.,1
"hai, eunice, fourteen potterheadϟ. ilovemaer‹з. @zaynmalikhechos.",1
"My LOVE 4 @cherylcole is indescribable, she tought me to never give up in what i believ in she has been my idol for 5 yrs and alwayswill be no matter what oxo",1
,1
,1
"hola, soy juan, soñador, fiestero,buen amigo, etc et sigueme y te sigo",1
"Iyaaa, i'm amylouise. Follow me?:) http://t.co/H9cjYs6N . f you wanna know more ask or something yeye.",1
"Hey Im Shaun and i'm 17. I'm a huge WWE fan. Favourite's are HBK & HHH, think DX are amazing :) My Fa diva is Melina :D HBK tweeted me 3 times :D",1
ul,1
CEO OF DECOUNTET,1
BG: My Wife ;) -- Fuck E V E R Y B O DY !,1
,1
,1
,1
"Author of E-Myth & The Most Successful Small Business in the World. Rdio host, Saxophone Player, Speaker. My deam is to transform small businesses worldwide!",1
'm rude bt only when I feel its necessary. Ceo Of #TeamFaceit  #TeamSmokeWell  #TittyNation &  #AssNation !!.. Follow @TittyNation_,1
Beyoncé & Rhanna... Just Loe 3,1
"O amor é como o sol, sbecomo renascer.",1
Founded by Shay S. SS Strives to Promote Unsigned Talent to the World. e Promote Good Music. Help Us GetThe Word Out.,1
,1
,1
I run a website with my family and friends called Festivals For All. This means I spend most of my life at festivals I ove it!,1
I really don't know wha toput here.,1
,1
"An eer evolving writer, toryteller and personal historian.",1
International Tattoo artist.. @CtyofInk,1
"Sexy lps, dirty hips, nice ass, high class, sexy smile, bieber style.(: ♥x333",1
Official Twitter of ED Duo - FIRST STAT,1
TVplus Content Creatr. #TeamBatman TeamFollowBack,1
,1
I'm a cool person. You hae to weet me to know the rest . :),1
I have a pasion haring great information.,1
La!,1
Author - Gray Matters Brain Injury: The Inside Perspective - reveals the dynamics of injury to the brain.  Fonder - Gray Matters Survivor Outeach (Nonprofit).,1
,1
"I was very happy when happiness cmes, but I was more pleased when i ee a beautiful smile on your face, Big fans of SimplePlan",1
FOLOW THE OWNER ===► FresH_BoY_Will,1
"'  fume maconha e não cigarros, pois neurônios você te milhôes... mas pulmôes, você só tem dois . ( bobmarley )",1
Tweeting anything from music to cience! Liing Life.,1
Voyage & Musique; Musique  Voyage ),1
Aricle Marketing Tops and Tricks htt://articlemarketingreviews.com,1
,1
ringing you the 86 top deals f the year in Toronto,1
GOD│#TMW◄Pez│#TLA◄VP│#TPQ◄VP│Co-PREZ #TF│ #TGP│#TC3 │#DMF│#TeamShowMeThePromo│#T2R │#TA│#TeamBeatunnerz│#YFUCCKINSTOP│ #TWWC│#TEAMFNGM│#TEAMALLY│ #SCS,1
"Even a fool knows whe its gold.... and the good ones go if you wit too long, so ima go before i stay too long #teambipolar #PAUSE",1
,1
,1
Swag.   #eamiPhon,1
Every b0dy L1s dubstp,1
#NAME?,1
you see tht botton it sas folow me,1
ukp tau,1
,1
"est. III.VI.MCMXCIII SouthSide Quees.Here to meet new ppl,network, and link up to chill.I have a team && clothing line,its called S.E.L.F~M.A.D.E.",1
,1
http://t.co/8ITgXDpN herkesi beklerim,1
,1
Prince of porn and CO Manager InaClub Inc.,1
"FOTÓGRAFO, CINEGRAFISTA E ASSESSOR PARLANTAR.",1
,1
"Um Muleqe Travesso, Feliz, Amigo, as Vezes chatos, Mais garanto que vou te fazer ir muito !",1
"I'm mber, but you're more thanwelcome to call me Daddy.",1
[18] I STAN FOR @NICKIMINAJ..Team Minaj Till The Deah OfMe!! Nicki Tweeted Me 11/23/11..[2/14/12] History Will Be Made -- Pink Friday: Roman Reloaded!!,1
,1
Advertising & Pomotons,1
,1
"litle girl, NovelHolic, KomikFilia, Humoris, Real Eaer, pecinta Alam. :)",1
,1
Dica para você que cuida da minha vida: anote tudo em um caderno porqe mnha memória é pessima.,1
"Não tire conclusões precpitadas, nem eu me conheço direito, qem dirá você.",1
Nubian blogger providing information that is uplifting for people of frican descet...,1
"Nightlife, Marketing Event Promotions,VIP's",1
wefounloveinaHOPELESSplae.,1
"I'm what Lebron was to St. Vincent-St. Mary, I give ou nothing but greatness, and the rsults don't vary.-Drake",1
"...Trust I seek and I find in you, every day for us somethng new, open mnd for a different view, And nothing else matters...",1
A virtual editor at the http://t.co/ZeUPqYi0WV I help rewrite lives & reboot the fuure. Neuroplasticity can sculpt the plastic brain; it's all in the editing!,1
Aventurous Girl.. All Time Blogger And Lver O Acting!!,1
,1
Portal de classificados Com os melhores fornecedores de produtos e serviços d Zona Leste deSão Paulo.,1
ll,1
,1
,1
"#rappr, #writer,  #silentwritter, #GHOSTWRITER need a hook or full song contact me.100%-confidential",1
I'm a sophomore at NORTH CAROLINA A&T STATE UNIVERSIY my wifey: @rihanna BFF: @CallMeJanae #RihannaNavy #TeamBreezy #NCT http://t.co/GvVCws18B0,1
"I am the first Jedi Nerd philosopher of the random, I ove Sports Music MoviesSci Fi and DC comics. I'm very liberal, be free be happy, but not ALONE....",1
"R.i.p rndmaaaa,",1
"I love mygirl @Soicey_Baby,  love Money$$$$$, and I love Kush, plain and simple",1
,1
The Royal Pacifi Hotel Hng Kong is conveniently located at the city centre of Tsim Sha Tsui (Can,1
"Island Yellow Pages presents Islnd Nutz News, the leading source for news andupdates on everything in the Caribbean and Florida. Get on island time with INN.",1
Onlie penguins believe n hardcore danci.,1
Be yourlf OK............,1
,1
"Our family has been transporting vehicles since 975, ad we take every auto transport personally, no matter the make or value.",1
"Never let the fear of striking ot, kee you from playing the game, follow me, i follow back :)",1
"Official Twitter Account. Heart of an American, Brain of a Spaniard, Stomch of a Chinese, I am a Filipino.BS-Tourism Management @ Triniy University of Asia.",1
,1
I AM ME BECAUSE THAT'S AL  KNOW HOW TO BE #teamfollowback,1
"Fxck The Drama ,, Get Mula (: .Proudly #TAKEN By @A_Smaxx ! #Teambreezy Err Die Hoee . CHRIS BROWN FOLLOWED ME 4/28/11 Also #teamtyga #taylorgng #temtunechi",1
"Worlds Largest Floating Dance Music Festival! 2200 Partiers 4+ Artists 9 Venues 2 Islands & 1 Massive Cruise Ship! Jan 2730, 2012",1
"Author Interviews, Galore and More. Email e atjoey.pinkney@gmail.com or direct message me.",1
"PUBLICIST/QUEEN OF PARTYING!, lov of music!!",1
"Wolds Largest Floating Dance Music Festival! 2200 Partiers 40+ Artists 9 Venues 2 Islands & 1 Massive Cruis Ship! Jan 27-30, 2012",1
"14 anos, sargitarianocorinthiano,amo,saude,vadio heehe",1
#TeamThomas #Team SSU #Team Tiger...Followme i'll Follow back.,1
IFMDb (Internet Forum Message Database) is a free search engine of the messages which are postd on nternet forums. Search similar forums messages at once.,1
All thingsjustin bieber...,1
"For your inspiration dream house, with displaying of design, architecture, furnitre,n mor.. http://t.co/miTyAWISdB, http://t.co/mr8RiSvtu6",1
Sou presnça no Pagoode não largo mu Futebool =),1
webcam model..... for free shows add my ooVoo == pleasureb001 (those are zeros not o's) ALL lades welcoe to watch,1
,1
Bio ~~ 404 ot Fond,1
"He creado una foto con la aplicacion Junos con la Seleccion, únete tu tambien para apoyar a nuestra seleccion en la Copa America 2011 http://t.co/WfCI4G0SGY",1
We're an independent lectronic/Indie/Rock band fom Georgia.,1
fllo me!:),1
"My hobbies are reading books and wtch films, football(soccer),motorsports and WoW. Music: Britney Spears and hiphop like akon For ore follow and tweet me :)",1
"12.10.211 was the best day of my life, my dream of being n a show of my idol Justin Bieber became a reality ♥.",1
"International talent management strategist.Connects top organisations,people and opportuities. Coach. Inspires creative thnking. Co-founder 3Plus Intl.",1
"Pat f DXT, A3, & NFS",1
CASTIGRI GARATATE CU Tweets.,1
"e ? feia, chata , insuportável ,idiota , a xuuxu do @fee_fagundes haha *-* a fofinha do @matheustmartins e a vitiima do @greenclown indo s2",1
"Social Media, Facebook Certified Digitl Strategist and Web Project Manager focusing to become one of the best digital strategits in the world.",1
"Paulit-ulit, paikot-ikot, pait-parito, parot-paroon, pabigla-bigla, padahan-dahan, pakalwa, pakanan, paatras, pasulong, pataas, pababa, paloob, palabas, tapos",1
I am a model.. Mis otros tw » @LoveTeen2011 » @ToraWoloshinRD | @lulopilato me espondio sep 12/011 - Gleek - TeenAngels - Rihanna - Katy Perry - Gaga ♡,1
justin drew bieber. 3 he is y inspiration. e is my hero. he is my everything. i think he is perfect! you mad? stay mad. BIEBERCONDA!! i follow back. peace.,1
,1
"empowerment, holistic wellbeing, inspiratin, connection, authentic life, self expression, transformation, women in tranition, midlife, nature,  kindness!",1
,1
,1
"ounder and CEO of FAL Enterprises, Literary Agent and Distribution/broker caabilities.",1
#Purpleninja . I'm just an ordinary kid. I love everyone coz i dont wanna hte anyone.I dont wanna insult anyone coz i knew i'm not perfect:) _Thanks_,1
apalah arti sebuah bio... hidupmu adalah duniamu hidupku adalah duniaku... hal apapun dan sekecil apapun akan menyulut api kebencian dan mnebabkan perang...,1
11 agust 1995 | ♥ALLAH | ♥ FAMILY | RD ♥ XI IPA 1♥ SMAN 12 BANDAR LAMPUNG | FOLLOW ☺ UNOLLOW (¬_¬),1
GivTrending Topic News Over Here,1
IAm Mindless Behavior Lovr,1
"Your source for Call Center Integration, Enterprise Social Media, Professional Web, and SEO Consulting Services. info@ethosiq.com http://t.co/gxNTRcgr",1
"Just me™  That's all  can be.  ♏   ♥   ♥   ♥ Can't live without my music, iPhone, and Starbucs.",1
"I am a home business specialist who works- and lives in a waterfront Florida home! The ore I help people, the mre successes I enjoy!",1
"HEELS!/ fashiion /photography/ 17/ Bacon/ moneyy/ diiamonds/ glitter/ sparkles/ usiic && technology are myy liife, Follow mee && illfollow youu bakk 3 XOXO",1
Consultor. Tecnico Creativo.    E-Learning. Freelance Pdro Garcia Roman | pgarcialab,1
,1
I Rap & Mdl,1
"Be belieber is more thn just believe. To dream, support, love, play a role in Jusin's life, cherish and never turn your back ♥",1
Makin music sine I wa 6,1
"La música es mi pasión,la amodemaciado.Me gusta mucho el arte. F O L L O W  M E♥",1
ophie'BridgetScott,1
This is Alex M-Campbell official tittr,1
nl,1
,1
Verfied JLSter I ♥ JLS  Love JLS Moree Thann Anythingg Moree Thannn Wordss Can Sayy Xxx 3(AstonMrrygold My Husbandxx),1
ProvidingFREE information on How To Create A Website by yourself.  Need A Website? No Budget for Web Design http://t.co/aURxS64a,1
"I alwas say,  NEVER SAY NEVER! , t all my problems. :)",1
,1
i'm indonesian.i'm proud for being indonesian mosem,1
A group of determined moms spreading awarness nd trying to put an end to #bullying.,1
"ife Sucks, So Grab A Straw And Get Cofortable...",1
"Thelife and times of lifestyle purveyor George Sully,Founder of Design Embassy Group, Co-Creator of TCHAD Quarterly Magazine and Sully Wong Shoes.",1
,1
"Apresentadora doQUE HISTÓRIA ÉESSA? Contadora de Histórias, radialista e escritora!",1
,1
"I love to take picturs, sew, sell online.  I just love to tweet, and I will follow back.  #follow4follow  #teamfollowback  #teamfollowwack  #instantfollowback",1
,1
Giving away free Dr. Dre Bats now! Visit http://t.co/Fe7HCcrg !!!,1
weeping may endure 4 night but joycome in the morning light. ilove god who is the head of my life hters do me no good. keeping my head up and faith to the max,1
"20 | junior at gsu | aries | hispanic | triple majorin; psychology, spanish, and criminal justice | my life is diine chaos | get to know me",1
"FOLLLOW MEE AND ILL FOLLOW BACK.#freshmanswag (vacahigh) , #LeanTeam , #teamtaken , #teamdopedickent.",1
Yea dis ya boibigg bub...koolin as alwayz...follow ya boi...I luv 2 jke around n meet new friendz along da way...I'm a real down 2 earth kinda person,1
Eail: nynewestmusic@gmail.com..For all Inquiries nd show bookings....New Single Full Time Lover Available on Itunes NOW...,1
,1
,1
"http://t.co/PAa1DILj fan mde twitter for womens professional basketball player Angel McCoughtry for site updates, contests and giveays! :)",1
"Esposo, Amigo, Pr. Dir. da Assembléia de Deus em Pq. Pulista DCaxis RJ, Juiz de Paz, Atuante em Politicas Publicas, Universitario, Ativista Comunitário.",1
"An adventurous lady, a real Globe-Trotter. Have ben to Everst and places hotter. I could be a model but I'm not for hire, far too busy putting out fires",1
A&R CONSULTANT  PRODUCER  | HEAD DJ @DIPSETWEST_DJS | 730DIPSDJS | PORTERROCDJS | COAST2COATDJS | BIZ ONLY BOOKING4SUPER@GMAIL.COM,1
"Quality natural stoe tiles with discounted price our wide selection of naural stone tiles, mosaic tiles, granite tiles to contractors and retail customers.",1
"WMDEAN is the King of Handmade Cuffinks! Prices start at $9.99 with FEE Worldwide Shipping. Perfect for weddings, fraternal groups, and avid collectors.",1
#Sophmor@Dunbar#Sports#TEAFOLLOWBACK#TeamFuckYouMean#AllboutMe#TeamFuckAllHaters,1
Prtty ung ting,1
"Isn't it funny how every teen s completely diferent from each other, but every teen has been through the same awkward moments?",1
for news and new products! Supplying all your coaching needs. Follow @AneEGalloway and @JneAStephenson,1
Iniciativa usca valorizar água tatada incentivando substituição do consumo da água em garrafa pela água filtrada em estabelecimentos comerciais e residenciais,1
#TeamPittman #TeamGetMoney #TeamEngaged #TeamREALaf #TeamFollowBck http://t.co/QqC0wve2,1
"Always love my family, @apipaah, all my riends, X.2, SMAN 5, PISMAN 5, SAUTA",1
"Jounalist. Women and girl empowerment advocate. HuffPost blogger. The Goddess Diaries, columnist. Wriing coach/consultant. Yogini.",1
Beliebing sine 08' and I'll be hre until the end.,1
Uma garota igual a todas as outras. Não sigo todos que m segue - beijos,1
insan dediğin kaç zamn yaşar sonuda?,1
,1
"@justinbieber I Lov You, 15 de Octubre el mejor día de mi vida.El día e cumplí mi sueño vi a @justinbieber y es hermoso te Amo, espero qe vuelvas a #Chile",1
Cloting Compan,1
CaliBaby:).17.Cheerleader.Tated.Pierced. Best Mexican You Will Ever Know:) #TeaTaken #TeamSkins #TeamTanSkinned #TeamGemini #TeamIDGAF,1
"i've lost my power to feel tonight, we're al just victim of a crime .",1
I layDrums.,1
Naturlly and ArtificiallyFlavoured Magically Delicious #Ⓣ.Ⓖ.Ⓞ.Ⓓ,1
Twitter page to show support @justinbieber and offiialjaden :),1
"i like gettin money,girls,soppin and hoopin ll day",1
Namastê!!! úvidas??? Inquietações??? Pegunte ao Guru!!!,1
nl,1
nl,1
"Social mdia productivity solutions for witter, Facebook, StatusNet, blogs, and more.",1
"@ladygaga is my goddesss, my life has completly changed snce i knew her ,she is inspiring me in my painting , love 2 draw hr so much ...",1
Antonia Janee One&Only:)),1
,1
♫♪uician|Recording Artist|Songwriter|Dope|,1
"Wassup Mothafuckaas , You Already Know The Deal With Ka . && If You Don't Ask Abot me ! Follow Me . #TeamIDGAF Official Page @KiaSymone",1
#Teambreezy #Teabigtits #Teamshorgirls #Teamfollowback #Teamtaurus,1
"I'm just a modern guy with a shoe wbsite.  I have shoes,hats,clothes,flat irons for he ladies, and even glasses. Come check me out http://t.co/uz9ziISb",1
assy's the name. Follow me Ifollow back(: #teambencano,1
"I don't care what other people think- ever hae, never will. I always stand true to myself- always.",1
"College life, chllin. Mr.Right=@ObeyGiant6 11.6.11 #BumLove #TeamLibr #TeamFollowBack",1
"Lampin, Still Blazin  #SkinnyNga #Humble MyDAY 6:20",1
i am e take it or fuckoff,1
